,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
106,V ozhidanii Charlotte Corday,Yana Anosova,"['V ozhidanii Charlotte Corday', 'Vsyo prosto']",N/A,Reparto,N/A
107,Ages of Sex,Igor Mirkurbanov,"['V ozhidanii Charlotte Corday', 'Za posledney chertoy']",N/A,Reparto,1 nominación
108,Ages of Sex,Vince Foster,"['Godzilla: Rey de los monstruos', 'The Resident']",N/A,"Reparto, Producción, Dirección","1,75 m"
109,Ages of Sex,Kara Flowers,"['Vamos de polis', 'Passengers']",1984,"Reparto, Especialistas",N/A
110,Ages of Sex,Conor Brophy,"['Passengers', 'Multiplayer']",N/A,"Producción, Reparto, Guion",N/A
111,Kirintilar,Ismail Hakki,"['Müfreze', 'Kirintilar']",N/A,Reparto,N/A
112,Kirintilar,Gökçe Suyabatmaz,"['Adab-i Muaseret', 'Amor y castigo']",N/A,"Reparto, Equipos adicionales, Dirección de arte",N/A
113,Kirintilar,Arif Sevimli,"['Kirintilar', 'Matrimonio por sorpresa']",1988,Reparto,N/A
114,Kirintilar,Haldun Boysan,"['Gemide', 'The Valley of the Wolves']",1958,Reparto,1 premio y 1 nominación
115,Kirintilar,Aden Duru Orak,"['Kirintilar', 'Hayat Sarkisi']",N/A,Reparto,N/A
116,Kirintilar,Sebahat Adalar,"['Leyla and Mecnun', 'Sahipli']",1954,Reparto,N/A
117,Kirintilar,Efe Karaman,"['Muska', 'Hicran Sokagi']",N/A,Reparto,N/A
118,Kirintilar,Taylan Ertugrul,"['Kirintilar', 'Kara Köpekler Havlarken']",N/A,Reparto,N/A
119,Lowriders,Gabriel Chavarria,"['La guerra del planeta de los simios', 'Lowriders']",1989,"Reparto, Producción",3 nominaciones
120,Lowriders,Demián Bichir,"['Los odiosos ocho', 'Una vida mejor']",1963,"Reparto, Producción, Dirección",11 premios y 18 nominaciones en total
121,Lowriders,Theo Rossi,"['Emily la estafadora', 'Hijos de la anarquía']",junio,"Reparto, Producción, Equipo ejecutivo",2 premios y 2 nominaciones
122,Lowriders,Tony Revolori,"['El gran hotel Budapest', 'Dope']",1996,"Reparto, Producción, Dirección de fotografía y cámara",5 premios y 15 nominaciones
123,Lowriders,Melissa Benoist,"['Supergirl', 'Whiplash']",1988,"Reparto, Producción, Dirección",N/A
124,Lowriders,Yvette Monreal,"['Rambo: Last Blood', 'Stargirl']",julio,Reparto,1 premio y 1 nominación
125,Lowriders,Eva Longoria,"['Mujeres desesperadas', 'Vidas al límite']",1975,"Reparto, Producción, Dirección",17 premios y 33 nominaciones
126,Lowriders,Montse Hernandez,"['Colony', 'Coco']",2000,"Reparto, Equipos adicionales, Banda sonora",N/A
127,Secrets That Bonds Us,Dawn Adams,"['Red Light', 'Girl Daddy']",N/A,"Reparto, Maquillaje, Dirección",N/A
128,Secrets That Bonds Us,Nefertiti Jackson,"['In the Eyes of an Innocent child', 'Secrets That Bonds Us']",N/A,"Reparto, Guion, Dirección de casting",N/A
129,Secrets That Bonds Us,Anthony Jacobs,['Secrets That Bonds Us'],N/A,Reparto,N/A
130,Secrets That Bonds Us,Jennifer N. Laws,['Secrets That Bonds Us'],N/A,Reparto,N/A
131,Leviatan,Diego Alonso Gómez,"['Okupas', 'Zanjas']",1972,"Reparto, Producción",1 premio
132,Leviatan,Graciela Dadi,['Leviatan'],N/A,Reparto,N/A
133,Leviatan,Javier Parcero,"['Número 8', 'Leviatan']",N/A,Reparto,N/A
134,Shao nian zhu yuan zhang,Guoyu Liao,['Shao nian zhu yuan zhang'],N/A,Reparto,N/A
135,"Atr-e shirin, atr-e talkh",Bahare Afshari,"['Heysiat-e Gomshodeh', 'Zendegi shirin']",N/A,Reparto,N/A
136,"Atr-e shirin, atr-e talkh",Danial Ebadi,"['Kristal', 'Emshab Shabe Mahtabe']",N/A,Reparto,N/A
137,"Atr-e shirin, atr-e talkh",Sharareh Dolat Abadi,"['Ghatel-e ahli', 'Notfe Shom']",N/A,Reparto,N/A
138,"Atr-e shirin, atr-e talkh",Parviz Ta'yidi,"['Akharin Mohlat', 'Hamleye kharchang-ha']",N/A,"Dirección, Reparto, Guion",N/A
139,"Atr-e shirin, atr-e talkh",Pourandokht Mahiman,"['Sooteh-Delan', 'Sam o Nargess']",N/A,Reparto,N/A
140,"Atr-e shirin, atr-e talkh",Iraj Mirzai,"['Atr-e shirin, atr-e talkh', 'Booy-e gol-e sorkh']",N/A,Reparto,N/A
141,Bivehaye Ghamgin Salar Jang,Golab Adineh,"['Abji', 'Mehman-e maman']",1953,"Reparto, Dirección de la segunda unidad o asistencia a dirección",4 premios y 6 nominaciones
142,Bivehaye Ghamgin Salar Jang,Shirin Bina,"['Jaye Oo Digar Khali Nist', 'Ser Madre']",N/A,"Reparto, Guion",1 nominación
143,Bivehaye Ghamgin Salar Jang,Mona Farjad,"['Davinchiz', 'Bivehaye Ghamgin Salar Jang']",N/A,"Reparto, Dirección",(Sibling)
144,Obsesión fatal,Morris Chestnut,"['Kick Ass 2: Con un par', 'El mejor amigo del novio']",1969,"Reparto, Producción, Dirección",4 premios y 6 nominaciones
145,Obsesión fatal,Regina Hall,"['Plan de chicas', 'Scary Movie']",1970,"Reparto, Producción, Equipo ejecutivo",10 premios y 35 nominaciones
146,Obsesión fatal,Romany Malco,"['Weeds', 'Virgen a los 40']",1968,"Reparto, Dirección, Guion",6 premios y 8 nominaciones
147,Obsesión fatal,Michael Kenneth Williams,"['The Wire (Bajo escucha)', '12 años de esclavitud']",1966,"Reparto, Producción, Equipos adicionales",N/A
148,Obsesión fatal,Glenn Morshower,"['The Resident', 'Bloodline']",1959,"Reparto, Producción, Guion",3 premios y 2 nominaciones
149,Obsesión fatal,Theo Rossi,"['Emily la estafadora', 'Hijos de la anarquía']",junio,"Reparto, Producción, Equipo ejecutivo",2 premios y 2 nominaciones
150,Obsesión fatal,Jaz Sinclair,"['Generación V', 'Las escalofriantes aventuras de Sabrina']",1994,"Reparto, Producción, Banda sonora",3 nominaciones
151,Obsesión fatal,GiGi Erneta,"['The Curse', 'George & Tammy']",junio,"Reparto, Especialistas, Guion",N/A
152,N.S.I.W.E,Daphne Ampire,"['Bed of Thorns', 'Borders']",N/A,"Reparto, Guion, Producción",Daphine Ampire
153,N.S.I.W.E,Christine Amusugut,['N.S.I.W.E'],N/A,Reparto,N/A
154,N.S.I.W.E,Rose Basemera,"['Judas Kiss', 'N.S.I.W.E']",N/A,Reparto,"1,66 m"
155,N.S.I.W.E,Symon Base Kalema,"[""Veronica's Wish"", 'KEMI']",N/A,Reparto,Simon Kalema
156,N.S.I.W.E,Matthew Kavuma,"['Dial M for Maya', 'Atonement']",N/A,"Reparto, Dirección, Guion",N/A
157,N.S.I.W.E,Aganza Kisaka,"['27 Guns', 'Black Glove']",N/A,"Reparto, Guion, Dirección",N/A
158,N.S.I.W.E,Roja Matelja Mugabirwe,"['T.I.M.: Twine is Missing', 'N.S.I.W.E']",N/A,"Guion, Dirección, Edición",N/A
159,Boyvachcha kuyov,Manuchekhrzoda Abdol,"['Super Kelinchak', 'Kelin']",N/A,"Reparto, Equipos adicionales",N/A
160,Boyvachcha kuyov,Iso Abdulkhairov,"['Zamonaviy sovchilar', 'V Bagdade vsyo spokoyno']",N/A,Reparto,N/A
