,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
896,Man Without a Head,Shannyn Sossamon,"['Wristcutters: A Love Story', 'Destino de caballero']",octubre,"Reparto, Dirección, Guion",1 premio y 7 nominaciones
897,Man Without a Head,Alex Lombard,"['Bookie', 'Agentes de S.H.I.E.L.D.']",N/A,"Reparto, Dirección, Guion",5 premios y 7 nominaciones
898,Man Without a Head,Kaido Kelder,"['Muukalainen', 'Kirjad Inglile']",N/A,"Reparto, Música",N/A
899,Man Without a Head,Mari-Liis Lill,"['Jan Uuspõld läheb Tartusse', 'Seenelkäik']",1983,Reparto,N/A
900,Man Without a Head,Kaie Mihkelson,"['Keskea rõõmud', 'Klass']",1948,Reparto,N/A
901,Man Without a Head,Tiina Tauraite,"['Sügisball', 'Who Shot Otto Mueller?']",N/A,Reparto,N/A
902,Juego de asesinos,Jean-Claude Van Damme,"['Doble impacto', 'Double Team']",1960,"Reparto, Guion, Producción",2 premios y 10 nominaciones
903,Juego de asesinos,Scott Adkins,"['John Wick 4', 'Turno de día']",1976,"Reparto, Producción, Especialistas",7 premios y 8 nominaciones
904,Juego de asesinos,Ivan Kaye,"['Vikingos', 'Apocalypse Clown']",1961,"Reparto, Producción, Dirección",1 nominación
905,Juego de asesinos,Valentin Teodosiu,"['Juego de asesinos', 'Secretul lui Nemesis']",1953,Reparto,N/A
906,Juego de asesinos,Alin Panc,"['La caverna maldita', 'Bunraku']",1973,"Reparto, Producción, Guion",Alan Panc
907,Juego de asesinos,Kevin Chapman,"['CODA: Los sonidos del silencio', 'City on a Hill']",1962,"Reparto, Producción, Banda sonora",1 premio
908,Juego de asesinos,Serban Celea,"['Juego de asesinos', 'Sable noir']",1952,"Reparto, Equipos adicionales",N/A
909,Juego de asesinos,Michael Higgs,"['Juego de asesinos', 'Wizards vs. Aliens']",1962,Reparto,N/A
910,Café,Daniel Eric Gold,"['La guerra de Charlie Wilson', 'Definitivamente, quizás']",1975,Reparto,N/A
911,Café,Jennifer Love Hewitt,"['Sé lo que hicisteis el último verano', 'Aún sé lo que hicisteis el último verano']",1979,"Reparto, Producción, Dirección",10 premios y 25 nominaciones
912,Café,Hubbel Palmer,"['De-mentes criminales', 'Los peores años de mi vida']",febrero,"Guion, Reparto, Equipos adicionales",5 premios y 1 nominación
913,Café,Richard Short,"['La tragedia de Macbeth', 'Mary me mata']",1975,"Reparto, Guion, Producción",1 premio y 1 nominación
914,Café,Jamie Kennedy,"['La máscara 2', 'Scream 2']",1970,"Reparto, Guion, Producción",7 premios y 8 nominaciones
915,Café,Madeline Carroll,"['Mi primer amor', 'Resident Evil: Extinción']",1996,"Reparto, Producción",6 premios y 2 nominaciones
916,Café,Cecelia Ann Birt,"[""Ocean's Eleven: Hagan juego"", 'Un ciudadano ejemplar']",N/A,Reparto,N/A
917,Café,Garrett Hendricks,"['Ley y orden: Unidad de Víctimas Especiales', 'of the essence']",N/A,Reparto,N/A
918,Mientras duermes,Luis Tosar,"['Celda 211', 'Mientras duermes']",1971,"Reparto, Producción, Guion",43 premios y 48 nominaciones
919,Mientras duermes,Marta Etura,"['Ofrenda a la tormenta', 'Legado en los huesos']",1978,"Reparto, Dirección",9 premios y 19 nominaciones
920,Mientras duermes,Alberto San Juan,"['Mientras duermes', 'Bajo las estrellas']",1968,"Reparto, Guion, Equipos adicionales",9 premios y 14 nominaciones
921,Mientras duermes,Petra Martínez,"['Mientras duermes', 'La vida era eso']",1944,"Reparto, Producción",22 premios y 10 nominaciones
922,Mientras duermes,Iris Almeida,"['Mientras duermes', 'Sleep Tight: César and His Worlds']",N/A,Reparto,N/A
923,Mientras duermes,Carlos Lasarte,"['[REC]', 'Mientras duermes']",1941,Reparto,N/A
924,Mientras duermes,Amparo Fernández,"['3 metros sobre el cielo', 'Mientras duermes']",1961,"Reparto, Banda sonora",N/A
925,Mientras duermes,Roger Morilla,"['Mientras duermes', 'Barcelona 92']",N/A,Reparto,N/A
926,Fausto,Johannes Zeiler,"['CopStories', 'Wackersdorf']",1970,Reparto,3 nominaciones
927,Fausto,Anton Adasinsky,"['Fausto', 'Süd. Grenze']",1959,"Reparto, Dirección, Guion",2 premios y 1 nominación
928,Fausto,Isolda Dychauk,"['Fausto', 'Borgia']",1993,"Reparto, Producción, Guion",1 premio y 1 nominación
929,Fausto,Georg Friedrich,"['Great Freedom (Gran libertad)', 'Wilde Maus']",1966,"Reparto, Banda sonora",7 premios y 15 nominaciones
930,Fausto,Hanna Schygulla,"['El matrimonio de María Braun', 'Al otro lado']",1943,"Reparto, Dirección, Guion",27 premios y 12 nominaciones
931,Fausto,Antje Lewald,"['Die Camper', 'Por los niños']",1960,Reparto,Antje Lehwald
932,Fausto,Florian Brückner,"['Los tres mosqueteros', 'Was weg is, is weg']",1984,Reparto,N/A
933,Fausto,Maxim Mehmet,"['El Barón Rojo', 'Hijos del Tercer Reich']",1975,"Reparto, Cámara y electricidad, Localización",1 premio
934,One Kine Day,Ryan Greer,['One Kine Day'],N/A,Reparto,N/A
935,One Kine Day,Christa B. Allen,"['El sueño de mi vida', 'Revenge']",1991,"Reparto, Banda sonora",1 premio
936,One Kine Day,Julia Nickson,"['Dejadme ser libre', 'Noble House']",1958,"Reparto, Equipos adicionales",2 nominaciones
937,One Kine Day,Steve Parker,['One Kine Day'],N/A,Reparto,N/A
938,One Kine Day,Noah Parker,"['One Kine Day', 'Biting Off More Than You Can Chew']",N/A,Reparto,N/A
939,One Kine Day,Nalu Boersma,['One Kine Day'],N/A,Reparto,N/A
940,One Kine Day,Sean Reilly,['One Kine Day'],N/A,Reparto,N/A
941,One Kine Day,Auriel P. Rickard,"['Jacquemus: Spring/Summer 2022', 'One Kine Day']",N/A,"Reparto, Casting, Producción",N/A
942,Perfect sense,Eva Green,"['Casino Royale', 'Penny Dreadful']",1980,"Reparto, Producción, Banda sonora",5 premios y 23 nominaciones en total
943,Perfect sense,Lauren Tempany,['Perfect sense'],N/A,Reparto,N/A
944,Perfect sense,Ewan McGregor,"['Moulin Rouge', 'Trainspotting']",1971,"Reparto, Producción, Guion",36 premios y 77 nominaciones en total
945,Perfect sense,Connie Nielsen,"['Gladiator (El gladiador)', 'Retratos de una obsesión']",1965,"Reparto, Producción, Guion",5 premios y 10 nominaciones
946,Perfect sense,Denis Lawson,"['La guerra de las galaxias', 'El retorno del jedi']",1947,"Reparto, Dirección, Guion",4 nominaciones en total
947,Perfect sense,Stephen Dillane,"['Las horas', 'Juego de tronos']",1957,"Reparto, Banda sonora",7 premios y 10 nominaciones en total
948,Perfect sense,Shabana Akhtar Bakhsh,"['Perfect sense', 'Un beso']",1981,Reparto,Shabana Bakhsh
949,Perfect sense,Caroline Paterson,"['Perfect sense', 'Tinsel Town']",1965,"Reparto, Dirección, Guion",N/A
950,Arzanda,Yayra Abdullaeva,"['Sluchay v pustyne', 'Bay i batrak']",1930,Reparto,Ya. Abdulayeva
951,Arzanda,Umid Iskandarov,"[""Sarobga yo'l"", 'Ishq va anduh']",N/A,"Reparto, Dirección, Guion",N/A
952,Arzanda,Samandar Khamrakulov,"['Arzanda', 'Muhabbat Sinovlari']",N/A,"Reparto, Dirección, Guion",N/A
953,Arzanda,Matyoqub Matchanov,"['Sohni Mahiwal', 'Snayper']",1956,Reparto,N/A
954,Arzanda,Saida Rametova,"['Arslon izidan', 'Qudajonlar']",N/A,"Reparto, Producción, Guion",N/A
955,Arzanda,Takhir Saidov,"['18 kvadrat', 'Hayot']",N/A,Reparto,N/A
956,A Beautiful Belly,Chris Worley,"['Going Up (a webseries)', 'A Beautiful Belly']",N/A,"Reparto, Guion, Producción","1,82 m"
957,A Beautiful Belly,Lauren Brown,"['The Sacred', 'Bloody 27']",N/A,Reparto,N/A
958,A Beautiful Belly,Michele Simms,"['Sex Drive', 'Red Tide']",1977,"Reparto, Guion",N/A
959,A Beautiful Belly,John William Wright,"['Pretty Little Victim', 'Dating a Killer']",N/A,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Cámara y electricidad",Duke McCallister
960,A Beautiful Belly,Amy LoCicero,"['Divina de la muerte', 'Big Mike']",N/A,Reparto,N/A
961,A Beautiful Belly,Peyton Lee,"['Crónicas vampíricas', 'Divina de la muerte']",N/A,Reparto,N/A
962,A Beautiful Belly,Raymond D. Sweet,"['Unidad de élite', 'The Exile']",N/A,"Reparto, Equipos adicionales, Cámara y electricidad",Raymond Sweet
963,A Beautiful Belly,Randy Molnar,"['The Tenant', 'Dasavatharam']",N/A,"Reparto, Producción, Localización",1 nominación
964,Un pedacito de cielo,Kate Hudson,"['Casi famosos', 'Cómo perder a un chico en 10 días']",1979,"Reparto, Producción, Dirección",18 premios y 39 nominaciones en total
965,Un pedacito de cielo,Gael García Bernal,"['Mozart in the Jungle', 'Diarios de motocicleta']",1978,"Reparto, Producción, Guion",39 premios y 52 nominaciones en total
966,Un pedacito de cielo,Kathy Bates,"['Misery', 'Eclipse total (Dolores Claiborne)']",1948,"Reparto, Dirección, Producción",38 premios y 99 nominaciones en total
967,Un pedacito de cielo,Lucy Punch,"['Into the Woods', 'Bad Teacher']",1977,"Reparto, Guion, Producción",3 premios y 7 nominaciones
968,Un pedacito de cielo,Romany Malco,"['Weeds', 'Virgen a los 40']",1968,"Reparto, Dirección, Guion",6 premios y 8 nominaciones
969,Un pedacito de cielo,Rosemarie DeWitt,"['La boda de Rachel', 'El amigo de mi hermana']",1971,"Reparto, Equipos adicionales",9 premios y 25 nominaciones
970,Un pedacito de cielo,Whoopi Goldberg,"['Ghost (Más allá del amor)', 'Sister Act (Una monja de cuidado)']",1955,"Reparto, Producción, Guion",N/A
971,Un pedacito de cielo,Treat Williams,"['Deep Rising: El misterio de las profundidades', 'Hair']",1951,"Reparto, Dirección, Producción",1 premio y 14 nominaciones en total
972,Un lugar donde quedarse (This Must Be the Place),Sean Penn,"['Mystic River', '21 gramos']",1960,"Reparto, Producción, Dirección",N/A
973,Un lugar donde quedarse (This Must Be the Place),Olwen Fouéré,"['El hombre del norte', 'La matanza de Texas']",marzo,"Reparto, Guion, Dirección",2 premios y 2 nominaciones
974,Un lugar donde quedarse (This Must Be the Place),Eve Hewson,"['Robin Hood: Forajido, héroe, leyenda', 'El puente de los espías']",1991,"Reparto, Banda sonora",3 premios y 8 nominaciones
975,Un lugar donde quedarse (This Must Be the Place),Johnny Ward,"['Un lugar donde quedarse (This Must Be the Place)', 'Dollhouse']",N/A,Reparto,1 premio
976,Un lugar donde quedarse (This Must Be the Place),Sam Keeley,"['Joe vs. Carole', 'Kin']",1990,Reparto,1 premio y 1 nominación
977,Un lugar donde quedarse (This Must Be the Place),Danielle O'Brien,"['Un lugar donde quedarse (This Must Be the Place)', 'Tinderface']",N/A,Reparto,N/A
978,Un lugar donde quedarse (This Must Be the Place),Margaret O'Reilly,['Un lugar donde quedarse (This Must Be the Place)'],N/A,Reparto,N/A
979,Un lugar donde quedarse (This Must Be the Place),Frances McDormand,"['Tres anuncios en las afueras', 'Fargo']",1957,"Reparto, Producción, Banda sonora",143 premios y 140 nominaciones en total
980,Martha Marcy May Marlene,Elizabeth Olsen,"['Martha Marcy May Marlene', 'Doctor Strange en el multiverso de la locura']",1989,"Reparto, Producción, Banda sonora",23 premios y 64 nominaciones en total
981,Martha Marcy May Marlene,Christopher Abbott,"['Llega de noche', 'Possessor Uncut']",1986,"Reparto, Producción, Banda sonora",5 premios y 27 nominaciones
