nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
De gelukkige huisvrouw,Marcel Hensema,"['Hollands hoop', 'Tokyo Trial']",1970,"Reparto, Dirección, Producción",5 premios y 2 nominaciones
De gelukkige huisvrouw,Waldemar Torenstra,"['Divorce', 'Vechtershart']",1974,"Reparto, Producción, Equipos adicionales",2 premios y 2 nominaciones
De gelukkige huisvrouw,Isis Cabolet,"['Diep in de nacht', 'App']",1986,"Reparto, Dirección, Guion",1 nominación
De gelukkige huisvrouw,Gijs de Lange,"['Het klokhuis', 'De gelukkige huisvrouw']",1956,"Reparto, Dirección, Banda sonora",(una enfermedad corta)
De gelukkige huisvrouw,Martijn Nieuwerf,"['Affair Play', 'Flikken Maastricht']",1966,"Reparto, Guion",(2 niños)
De gelukkige huisvrouw,René van 't Hof,"['Plan C', 'De brug']",1956,Reparto,1 premio
De gelukkige huisvrouw,Lot van Lunteren,"['Bernhard, Schavuit van Oranje', 'Flikken Maastricht']",N/A,Reparto,N/A
Truth About Kerry,Stana Katic,"['Castle', 'CBGB']",1978,"Reparto, Producción, Dirección",8 premios y 5 nominaciones
Truth About Kerry,Jessica Dean,"['Truth About Kerry', 'Will & Grace']",N/A,"Reparto, Equipos adicionales",Jessica Margaret Dean
Truth About Kerry,Darren Keefe Reiher,"['Truth About Kerry', 'Aggregate']",1975,"Reparto, Guion, Producción",1 premio
Truth About Kerry,Paul Hardiman,"['Truth About Kerry', 'Crossmaglen']",N/A,Reparto,N/A
Truth About Kerry,Ryan C. King,"['Truth About Kerry', 'Shattered']",N/A,Reparto,Ryan King
Truth About Kerry,Rick Yudt,"['Hércules: El origen de la leyenda', 'The Haves and the Have Nots']",septiembre,"Reparto, Guion, Producción",1 premio
Truth About Kerry,Chris Fitzgerald,"['Truth About Kerry', 'The Shed']",N/A,"Reparto, Producción",N/A
Truth About Kerry,Tommy Fitzgerald,"['Darkness on the Edge of Town', 'Tierra de violencia']",N/A,"Cámara y electricidad, Dirección de fotografía y cámara, Reparto",N/A
