,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
530,John Stewart: Rise of the New Lantern,Shawn Douglas,"['The Last Word', 'Fragments']",N/A,"Reparto, Equipos adicionales",N/A
531,John Stewart: Rise of the New Lantern,Jayme Foremaster,"['Game of Scones', 'John Stewart: Rise of the New Lantern']",N/A,Reparto,N/A
532,John Stewart: Rise of the New Lantern,Deanna Rashell,"['NCIS: Nueva Orleans', 'Elsa & Fred']",julio,"Reparto, Dirección, Guion",N/A
533,John Stewart: Rise of the New Lantern,Tracy Weisert,"['Superstore', 'La vida en piezas']",1957,Reparto,N/A
534,John Stewart: Rise of the New Lantern,Forest Welton,"['John Stewart: Rise of the New Lantern', 'Take Back The Night']",N/A,Reparto,N/A
535,Counter Measure,Patrick D. Green,"['Escaping Freedom', 'First Cow']",N/A,"Reparto, Guion, Producción",4 premios y 3 nominaciones
536,Counter Measure,Dennis Hill,"['The Wire (Bajo escucha)', 'The Record Keeper']",N/A,"Reparto, Producción, Guion",1 premio
537,Marked Man: The Prologue,Jaiden Kaine,"['Crónicas vampíricas', 'Figuras ocultas']",N/A,"Reparto, Guion, Producción",1 premio y 2 nominaciones
538,Marked Man: The Prologue,Sean LeeRoy,"['Pulse', 'Last Breath']",N/A,"Reparto, Guion, Especialistas",N/A
539,Marked Man: The Prologue,Gerrard Lobo,"['Solo asesinatos en el edificio', 'Bull']",1979,"Reparto, Guion",N/A
540,Marked Man: The Prologue,Andrew Platner,"['Marked Man', 'Vow']",N/A,"Reparto, Guion, Producción",N/A
541,Marked Man: The Prologue,Larry Mihlon,"['Un crimen para recordar', 'Shadow of Doubt']",N/A,"Reparto, Producción, Equipos adicionales",2 premios y 1 nominación
542,Marked Man: The Prologue,Bridget Fitzgerald,"['Christmas Lovers Anonymous', 'Musie']",N/A,"Reparto, Guion, Producción",N/A
543,Marked Man: The Prologue,Amaany Clarke,"['Mr. Right', 'Marked Man']",N/A,"Música, Reparto, Banda sonora",N/A
544,The Running Dead,Neylan Bright,"['The Running Dead', 'Dream Fast']",N/A,"Dirección, Edición, Guion",N/A
545,The Running Dead,Mason Bridges,"['The Running Dead', 'Propaganda']",N/A,"Reparto, Maquillaje, Cámara y electricidad",N/A
546,The Running Dead,Thomas Moore,"['Broken Contentment', 'Ruination']",N/A,"Dirección, Guion, Producción","1,73 m"
547,The Running Dead,Whitney Lynn,"['The Running Dead', 'Perfidy']",N/A,Reparto,N/A
548,The Running Dead,Parker Fox Hysmith,"['The Running Dead', 'Dreams of the Wayward']",N/A,"Reparto, Equipos adicionales",Parker Hysmith
549,The Running Dead,Josh Cottrel,['The Running Dead'],N/A,Reparto,N/A
550,The Running Dead,Jessica Turner,['The Running Dead'],N/A,"Reparto, Producción",N/A
