ID,Nombre,Tipo,Año de Estreno,Mes de Estreno,Genero
tt15477560,Spider-Man: Bad Reputation,Movie,2023,11,Accion
tt15614148,The Obstacle,Movie,2023,4,Accion
tt15673502,Return of the Dark,Movie,2023,7,Accion
tt2906216,Dungeons & Dragons: Ehre unter Dieben,Movie,2023,3,Accion
tt3326138,The Last Deal,Movie,2023,2,Accion
tt3566610,129,Movie,2023,3,Accion
tt4303846,Out for Vengeance,Movie,2023,9,Accion
tt5090568,Transformers: Rise of the Beasts,Movie,2023,6,Accion
tt5776252,Taeter Burger,Movie,2023,10,Accion
tt6495056,Migration,Movie,2023,12,Accion
tt16793230,Mercy & Compassion,Movie,2023,3,Accion
tt9663764,Aquaman a ztracené království,Movie,2023,12,Accion
tt7984562,Statica,Movie,2023,3,Accion
tt6968614,The Mother,Movie,2023,5,Accion
tt16429084,Heavy Duty Man,Movie,2023,12,Accion
tt15716002,Trail Blazers: The Conquest,Movie,2023,,Accion
tt7720142,Assassin Club,Movie,2023,7,Accion
tt15811964,End of Loyalty,Movie,2023,3,Accion
tt8593824,The Old Way,Movie,2023,6,Accion
tt9362930,Blue Beetle,Movie,2023,8,Accion
tt15895490,Black Lotus,Movie,2023,4,Accion
tt16308356,The Color of Greene,Movie,2023,1,Accion
tt7995640,Drain Away: Is Pure Longing a Sin?,Movie,2023,3,Accion
tt9788538,The Breeding Frenzy,Movie,,,Accion
tt16418362,Gridman Universe,Movie,2023,3,Accion
tt15837338,PAW Patrol: The Mighty Movie,Movie,2023,10,Accion
tt15769364,The One,Movie,2023,,Accion
tt6791350,Guardians of the Galaxy Vol. 3,Movie,2023,5,Accion
tt8035464,Target Number One,Movie,2023,12,Accion
tt16310240,Nelayan,Movie,2023,11,Accion
tt15731658,Bull,Movie,2023,,Accion
tt9390520,Révolutionnaire,Movie,2023,4,Accion
tt7184154,Talk to the Gun: Momentum,Movie,2023,8,Accion
tt15769220,Father & Soldier,Movie,,,Accion
tt8589698,Teenage Mutant Ninja Turtles: Mutant Mayhem,Movie,2023,8,Accion
tt16349772,38 Minutes,Movie,2023,1,Accion
tt9362722,Spider-Man: Across the Spider-Verse,Movie,2023,6,Accion
tt16058988,Raakshasa Kaavyam,Movie,2023,10,Accion
tt9603212,Mission: Impossible - Dead Reckoning Part One,Movie,2023,7,Accion
tt6879446,Hidden Strike,Movie,2023,7,Accion
tt16361586,Topannah,Movie,2023,3,Accion
tt16428782,Free State,Movie,2023,9,Accion
tt9910302,King Street,Movie,2023,1,Accion
tt16960394,Demons of Hell,Movie,2023,9,Accion
tt17322408,Phoney,Movie,2023,4,Accion
tt17338918,Spider-man: With Great Power,Movie,2023,,Accion
tt17497862,Love of Money,Movie,2023,2,Accion
tt17499172,The Gift,Movie,2023,3,Accion
tt17499656,The Phoney,Movie,2023,4,Accion
tt17509628,The House of God,Movie,2023,,Accion
tt18296850,Spider-Man: Rise of a Hero,Movie,2023,3,Accion
tt18302086,Back to the Present!,Movie,2023,6,Accion
tt18310956,Electro,Movie,2023,4,Accion
tt18395292,El Sicario 2,Movie,2023,1,Accion
tt18411792,Intensive Purposes,Movie,2023,7,Accion
tt18411490,Tiger 3,Movie,2023,11,Accion
tt18667352,Mobile suit gundam wing the movie,Movie,2023,11,Accion
tt18777074,Turgut Reis - Dragut,Movie,2023,9,Accion
tt18925102,Crimson Saints,Movie,,,Accion
tt18926960,John henry man of steel the movie,Movie,2023,11,Accion
tt18925050,The Oath,Movie,2023,12,Accion
tt18912278,The Origins,Movie,2023,12,Accion
tt18953060,Martian manhunter the movie,Movie,2023,11,Accion
