Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Eye of the Empress: The Street Fight,,,Sanjini Bhakta,Sanjini Bhakta,Skylar is on a quest to find the magical Empress Diamond.,
The Trip,,89%,William Lula,Jack FuettererWilliam Lula,,
Eye of The Empress: Secrets Revealed,,,Sanjini Bhakta,Sanjini Bhakta,Skylar is on a quest to find the magical Empress Diamond.,
The Box Assassin,"7,1",,Jeremy Schaefer,Jeremy Schaefer,A pizza delivery boy finds himself in the middle of a clash between a gangster boss and a legendary assassin who the boy has unknowingly delivered instead of pizza.,3min
Mr. James is Dead.,"8,0",,Josh AriesDaniel Irving,Peter Hoskins,"Tom attends his estranged father's funeral only to find out that his father had been a spy all along, and his funeral is filled with spy villains from all shapes and sizes from his past.",13min
The Fast Family: Paul Walker Birthday Cruze,,,Jamon HolmesJason Sanchez,Jamon Holmes,,
Chip Manson 2 - The Electric Boogaloo,,,Jacob Boatsman,Jacob BoatsmanJack McMahan,,
Kaur,,,Janties KantelaArthur Kallinen,Arthur KallinenJanties Kantela,"Kaur has been kidnapped. And tries to escape, while a friend is looking for her.",
Once Upon a Time in the Bamboo,,,Peilin Kuo,Peilin Kuo,"A martial arts short film inspired by the 1971 film ""A Touch of Zen"", ""Once Upon a Time in the Bamboo"" weaves together ancient Chinese history and mysticism told from a modern boy's imaginative perspective.",5min
Date A Bullet: zenpen Dead or Bullet,"6,6",,Jun Nakagawa,Yûichirô HigashideNocoKôshi Tachibana,"Soon after falling into another world, Kurumi Tokisaki takes interest in a particular white cat. Much to Kurumi's disappointment, the two part ways. Kurumi later meets Hibiki Higoromo, a white haired quasi-spirit. Hibiki explains that they are at the center of a killing game between quasi-spirits. Within the Neighboring World, the spirits compete for a single wish to ... Leer todo",25min
Soft: A Veteran's Revenge,,,Jake EstradaChuck Fresh,Jake EstradaChuck Fresh,A story about mistreated veterans returning home versus entitled soft Millennial gamers. The clash will inevitably happen. It's just a question of when.,
The Chase,,44%,Paul Marra,,,
Thieves,,,Luca Ferrara,Luca Ferrara,"Tom - a timid young thief - takes part in his first break-in, accompanied by the experienced and threatening Garrett. The theft will soon take a horribly wrong turn.",5min
Cleanse Night,,,Bobby Richard,Bobby Richard,"This film pays homage to ""The Warriors"" film, and ""The Purge"" films. For 12 hours any crime is legal, including murder. During these 12 hours, a gang dressed in odd costumes terrorize a family.",
Ugly Gummies Quik-Flicks (Car Jacked),,,Bouston Blacke,Bouston Blacke,,2min
The Beginning,,,Mostafa Nouman,,"The Legendary Mitsubishi Lancer Evo IX takes a couple of high speed turns and tight drifts around the city, this car was featured in Fast and Furious: Tokyo Drift, this cinematic short filmed montage is for all the car lovers out there who we thought should see one of the most legendary cars known to humanity.",
Devastated,,,Aris KoulaidisNick Chanakoulas,Aris Koulaidis,,
Ace Your Game,,,Ryan BurnhamLuke Robson,,"The ""real"" Ronaldo takes a regular game of Tennis slightly too far.",1min
Special,,59%,Joshua F. Leonard,Joshua F. Leonard,Max (Sam Krueger) and Zena (Molly McGrath) are being chased down by a malevolent being. Can they face their fears and escape the darkness?,
Batman: Knightmare,"8,8",,Brian Bowles,Brian BowlesMatt Leyda,,
The Light vs the Dark,,,Scottio Arnold,Scottio ArnoldKofi ElamAnthony Tabron,,7min
X,,,Masih Tajzai,Nickolas DamMasih Tajzai,"After receiving distressing news, Iman, a young Afghan refugee, must immediately find a way to help his mother back in Afghanistan. With no remaining legal options to earn money in his new home, he turns to kickboxing in the underground fight club on the seedy side of Berlin. X is a political drama and action film that addresses key social issues through the eyes and ... Leer todo",15min
Ant-Man & The Wasp: Quantum Quarantine,"7,5",,Mario Durán Araujo,Mario Durán Araujo,"Hank Pym has discovered a way to save the original Wasp, but when Ghost and Yellowjacket arrives it's up to Ant-Man and The Wasp to save her in time.",10min
No Way Out,,,,,,
Spring Breaking,,,André Guima,Payton Tavernier,,4min
The Chase- Through the Woods,,,Scottio Arnold,Scottio ArnoldCurtis Lyons,,
Assassin,,,Karolina Jasinska,Melissa Bresler,"Evie is an assassin locked in a game where the objective is simple, hunt or be hunted. She is in a group of young people; she must kill them before they kill her.",7min
To Mystirio Tis Spilias,,,Konstantinos Mazgaltzidis,Giorgos Angelos Gkrizis,,
Marvel Knights Spider-Man One Shot Motion Comic,,,Darrell Harris,,,17min
Dawn of Night,,,Theodor Ionut Popescu(attached),Amalia BarnaOnica Dragomir Darius,"In a Bucharest where a lot of bad things happens at night, a renegade cop must find what's happening to the underground world and the people who are supposed to put it to an end.",
One Punch Man vs. Genos,"8,1",,Elliot C. Rosen,Elliot C. RosenNik Shaw,,5min
The Fixer- She's the Boss,,,Anthony Tabron,Scottio Arnold,,
Notorious,,,Ramya Mogallapu,Ramya Mogallapu,,
Spy Cat: A Crazy Story- 3,"10,0",,Kai Jacoby,Kai Jacoby,"After the events of Spy Cat- 2, Cookie and Sugar are called upon to execute the final mission of Operation: Spy Cat.",
Beat 'Em Up 2: Quarantine Kombat,,,Antoni McVay,Antoni McVay,,
Office 86,,,Garrett AtkinsonJyo Carolino,Jyo Carolino,A birthday planning session at the office causes conflict among the employees.,11min
Operation: Honey Bee,,,Carolynne BremmerBrandon FreemanRachel Freeman,Chance Fuerstinger,,4min
Black Pearl,,,Sergio Navarretta,Faye Lavin,,
Snatcher,,,David Mizera,David MizeraNailya Red,,
.357,,,Jeremy Sande,Jeremy Sande,"... Its a three step program , and the first one will kill you .",
Re: Action,,,Ty Hunt,,,
Reader,,63%,Ray Jones,Ray Jones,,
The Mechanic,,53%,Bryan Edwards,,A seemingly average Mechanic is ambushed by an elite squad of mysterious soldiers in this solo-shot and performed filmmaking adventure.,
Ne quittez pas...,,,Adrien Duhamel,Adrien Duhamel,"A young man straight out of an action film, finds himself in a critical situation and has to cope with, as the only help, a most singular call center.",12min
Barcelona shark attack,"8,3",,Sergey A.,Sergey A.,The violent shark attacked Barcelona. No one escape.,5min
Agent 07: Cut to the Chase,"7,7",,Pat DiabloMark GrossPaul Kraig,Pat DiabloMark GrossPaul Kraig,"Things get tense when Agent 07 encounters Seventeen in the field. As they try to recover an important hard drive from Bronson, it becomes increasingly murky who is on whose side.",14min
The Standoff,,,Grant Wayland,Grant Wayland,Three dangerous men have a deadly standoff.,
Skull,"6,8",52%,Eric Linden,,,3min
Capsules: Avril,,,Aurélien Grellier-Beker,Aurélien Grellier-Beker,,
Agent Mona 0.1,"8,1",,Chetan Sharma,,"A sexy, brilliant special Agent receives a dangerous mission to kill an international terrorist Masood Khan. She is an iconoclastic female detective who is excellent at infiltrating the enemy's boundary, but also has a dark side as she has a sexually deviant behavior but her will and desires lead her to do whatever it takes to complete the mission.",25min
Maserati: The Art of Perception,,,Timon Birkhofer,Timon Birkhofer,,2min
QB1,,,Vincent Elric,Vincent Elric,,2min
The Valiant Falcons,,,Joshua Ortiz,Joshua Ortiz,A group of Starfighters come to the rescue of a planet being invaded by an evil race of Alien/Robot hybrids called Darkorians.,14min
Office Man II: Poor Pay,,,Marbra Velo,Dean AlbacheroMarbra Velo,,
Tres Picos,,,Helios Nieto,Francisco Gonzalez Piña,"A young female athlete with Asperger's syndrome and no experience in high altitude mountain running sets a new record by climbing 3 volcanoes in less than 24 hours, going through Mexico City's rush hour. Presented by RedBull.",11min
SuperDad,,36%,Ethan Hill,Ethan HillGarrison HillGianna Hill,,
Kissing Concrete,,,Jim Onyemenam,Sam Hamilton,"In London's deserted streets, a young man named Miles tries desperately to escape the gang he is part of with his girlfriend Daisy. Miles' actions have thrust him into indirect confrontation with an underworld ringleader under the peculiar nickname of Blondie. The 15 minutes short film, inspired by films au noir and action films, focuses on themes of treason, friendsh... Leer todo",
Salon Fury,,,Bryan Edwards,,,
Freedom of the People,"7,9",,Mark Finbow,Mark Finbow,A devout Puritan must go to war against the Crown if he is to secure the people of England's religious and political freedom.,1min
Parker,,,Jay Conning,Jay Conning,,
Covert Message,,,Xenia Leblanc,Xenia Leblanc,A covert operation faces a mundane predicament. An award-winning one minute action film.,1min
Passage,,,Arron Kinser,Arthur Romeo,,8min
Solo,,8%,Jennaoui Marouane,Jennaoui Marouane,,35min
A Count of Treason,,,Andrew Kadikian,Laura Breen,,8min
Acting Reel ¨Naim Abdeslam 2020¨,,,Naim Abdeslam,Naim Abdeslam,,3min
Scorched Sea,,,Angela M. Gordon,Cynthia MarshallC.j. ScottBenedikt Sebastian,,8min
The Marauder,,,Jordan Currie,Jordan Currie,,19min
Ghost Rider Vs Freddy Krueger,,,Grant Brown,,,28min
BusMan,,,Papa Dadams,Papa DadamsBJ Jackson,"After being hit by a bus being driven by Morgan Freeman, Bus Man swears revenge against him.",11min
Raze of the Cyborg,,,Young-H. Lee,Craig BusekYoung-H. Lee,"In the violent underworld of a future Asian city, a group of cyborg criminals abduct women to sell into sex slavery. When they abduct Grace, the girlfriend of an assassin, he seeks out the help of a black clinic doctor who convinces him that there's only one way to save her: become a cyborg himself.",25min
Bad Hit,,,Diana Mills Smith,Diana Mills Smith,"A skilled hitman is given a new performance enhancer before his latest assignment. When this drug causes bizarre and unexpected side effects, the hitman must fight his way out of a dark maze filled with a deadly crime syndicate.",
Artificial Souldier,,,Jason Gonzalez,Jason Gonzalez,An insurgent scientist turns a soldier into the ultimate war machine to avenge his parents death.,17min
Sandigdh,,,Achyut Prashast Singh,Achyut Prashast Singh,Sandeep narrates the story of a confrontation between a cop who suspects someone for a reason and the suspect who believes the cop is mistaken due to a second reason.,4min
Fables Issue #8: Animal Farm,,,Kevin Terry,,,11min
Kcalb Atnas,,,BJ Jackson,Papa DadamsBJ Jackson,,13min
Ex Fight,,,Vanesha Chanta,Vanesha Chanta,,
Trials of Volkore (part 4),,,Coreetta Buchan,Coreetta Buchan,,
Indian Terrorist,,,Abhishek KapdiKapdi Bhargav,Kapdi AbhishekAbhishek Kapdi,Based On True Indicent.. Wenderfull Movie,21min
For the One,,,Gabriel Garcia,Gabriel Garcia,A man must save one who has been lost.,3min
Journey of Three Worlds - THE RE-TAKE,,,Coreetta Buchan,Coreetta Buchan,,
Anti-dirt,"8,4",,Sergey A.,Sergey A.,"The main character loves his white shirt, but once it was attacked by gray and dirt. What will the hero do?",4min
Lost Soldiers,,,Scott Clist,Scott Clist,,18min
Faked,"6,7",,Tony Cole,Tony Cole,"Former AIA agent Ryan Sefton has ""officially"" left the world of the living to escape the wrath of a vengeful criminal organization. But as an old saying goes, faking your death is easy - staying dead, not so much.",4min
Duck Crisis,,,Bryan Edwards,,,
14 Days of Action- Episode 101,,,,,,
Fieldcraft,,,Yasmin Neal,Yasmin Neal,,
Cyberpunk,,,Eduardo Javier Zayas,Eduardo Javier Zayas,,
Holy Smokes,,,Casey Joel,Casey Joel,"When Sonny, nephew of well known and feared mob boss Jack Holy Smokes Montana, steals money in a heist from his grandfather, he has two options Escape, or go up in flames.",23min
LOH Films Media,,,Leonardo Orna,Chiara MuroJuan Travierza,"Video Tv Short Promotional of projects of the Audiovisual Producer of Cinema and Tv LOH Films Media, an audiovisual group specialized in the creation, development and production of Fiction and Entertainment formats for Film and Television that is committed to talent and the development of ideas and projects that they consider to have the highest artistic quality and t... Leer todo",4min
Kuningasmies,,,Tapio Kauma,Tapio Kauma,Two friends head out for summer cottage for some relaxation. However they encounter strange visitors and bloody mayhem breaks loose. In the middle of shooting and explosions the men are faced with question about the true nature of manhood.,
Switching Genres,,,,,"An entry for the Westworld Scoring Competition 2020 from HBO and Spitfire Audio, featuring an original score by composer Paul Terry, entitled Switching Genres (2020).",5min
Practice,,,Kevin Murray,Kevin Murray,Baking cookies. Teaching music. Neutralizing mercenaries. All in a day's work for Winifred Aldridge.,
Dante,,,Bernardo Macapagal Jr.,Bernardo Macapagal Jr.Aljohn Mercado,,42min
14 Days of Action- Episode 102,,,,,,
Indiana Jones and the secret of the queens giant,,,John Galligan,John Galligan,,
The Stryker Ascension,"7,6",,Tony Cole,Tony Cole,"The CIA's medically enhanced assassin program has been shut down and all its assets regarded liabilities. One of the few surviving agents, Bryan Stryker, is slowly running out of the drug that made him the program's top operative. Now he must rely solely on his instincts and experience to withstand the betrayal of the ones he once trusted most.",11min
The Running Man 2020,"8,7",,Jonas Grimås,Jonas Grimås,,7min
An Ill Wind,,,Roman Medjanov,Roman Medjanov,Having fled an ill fated battle a young throne heir is tracked down by a band of mercenaries seeking the end of his bloodline.,14min
Pizdets,,,Rim Shafigullin,Rim ShafigullinDaria Shokhina,,16min
Retaliation,,50%,Joey Harlow,Joey Harlow,Sometimes the only way out is to fight.,10min
Leonidas Dacul,,,Stanescu Motatu Demetrio Leonidas,Stanescu Motatu Demetrio LeonidasShaiful Reezal Tajri,,
Virus,,16%,Nacho Serapio,Ana Eva CobosÁngel Pan,"Un virus informático, una cuenta atrás, 2 chicas, y una legión de esbirros. ¿Lograrán escapar antes de que se acabe el tiempo?",
Failed State,,,Brian Jackson,Brian Jackson,"A burned C.I.A Operative must defend his safe house, after his entire team is killed on a mission in Yemen.",38min
207,,,Mico Saad,Daniel L. Rivera,"4 friends decided to skip school for a day to hang out and party with some boys. However, this poor leaves them in the hands of a group of Human Sex Traffickers who beat them, drug them and attempt to sell them. The hunt to find the girls is on as the Detectives have 72 hours before the girls are gone for good.",
Rude TeenAger (Adolescente rebelde),,,ElSutan David Melendez,ElSultan David Melendez,,
The Fury Serum,,,Nate Jaxon,Nate Jaxon,"A short film about two brothers trying to sell their super steroid to the Russian Mafia, but what happens when the Russian mafia doesn't want to pay the price? Watch on July 10th and find out what happens.",9min
The Road Ahead,,,James E. Whitley III,Philippe ProsperJames E. Whitley III,,2min
Mission: Deadly,,,Berton Pierce,Berton Pierce,A vigilante millionaire is out to save humanity from itself.,2min
O'neil Reyes ( Showreel) Actor Ficcion,,,Barbara Caffarel,,,
Scampo,,,Tazito Garcia,Tazito Garcia,,
Indiana Jones and the last TP,,,Alejo Vega,Alejo Vega,,
One Shot,,,Kevin Mounce,Chris VarteressianCole Wenger,Fiona is a musician just trying to go to her show before a thief interrupts her day. This short film takes the audience through her experience in just one continuous camera shot.,
L'agent Jimmy,"9,4",,Mohamed Amine Toujani,Warren Blanchard,"In a neighborhood where crime reigns, a police officer and his unit discover a large stock of cocaine that will be the perfect motive to generate revenge.",26min
Sleep Walk,,,Cameron Thom,Cameron Thom,"Santo and Johnny, two young thriving mafia soldatos meet to discuss their recent heist and future plans within the chain. Santo has been informed through intel that Johnny has spoken too much, too much outwith the family. It's now Santo's and the family's word, to take him out. It's just business here.",4min
Cornered,,19%,James Quinn,James Quinn,,
Type o vodka,,,Allison Albano Knight,,Type o vodka is a special vodka for vampires and only vampires can drink it. A batch was lost in an accident.,22min
Milkless,,,Papa Dadams,Papa DadamsBenjamin HayllarBJ Jackson,"When Milkman's milk business starts to dry up, Milkman becomes depressed. However, soon that isn't very important when the world is caught up in an alien invasion and he has to survive.",
YouTubeKids Dora Editie 3: Dora En De Opperhoofd,,,Jesse van Olderen,Jesse van Olderen,,
Valiant Falcons 2: Heroes of the Galaxy,,,Joshua Ortiz,Joshua Ortiz,The Falcons are defeated. Their base is destroyed. The Darkorians are now planning to invade the nearby planet of Chrystali. The only hope left is the Falcon Fleet stationed on Planet Raleenia.,16min
Smoking Man,,,Leesa Robinson,Darran McCabe,,
Code Yellow,,,Matteo Maraffio,Riccardo BalattiSebastiano FumagalliMatteo Maraffio,,5min
Spectrum Cinema's House of M,"9,0",,Lauritz Mazin,Lauritz Mazin,This film follows Wanda Maximoff as she is slowly losing her grasp on reality with her reality warping powers. The Avengers must stop at nothing to stop her world-ending madness.,36min
Wolf: A Thomas Lund Story,"7,0",,Jacob K. Ebbesen,Jacob K. Ebbesen,"In the year of 2008, Thomas Lund gets a mission to catch a spy hunter named Wolf. For Lund it's a little personal, because Wolf was responsible for the death of a beloved friend and colleague.",10min
Chip Manson 3 - This Time It's Personal,,,Jacob Boatsman,Jacob Boatsman,,
The Cure,,79%,Robert Short,Shashone Lambert-ShortRobert Short,"Qwick, a hip-hop loving tech geek, must find a way to get a secret cure to his late grandfather's restricted lab. Just one thing...there's some people who'd kill to get that cure...literally.",
Pheromone: Providence,,,Marjean Holden,Said Kakese Dibinga Chota,"Providence takes time off too spend time with her son, when she is ambushed by an Australian hit team out to collect a bounty that's been placed on her in Europe..",5min
Lost and Found,,40%,Adam Roberts,Adam HallAdam Roberts,,6min
To the End,,85%,Samir Ali,Samir Ali,,
Under Fire,,91%,Brendan Kelleher,Brendan Gerard Kelleher,,8min
Chalk Warfare 4.0,"8,1",,Sam Wickert,Eric Leigh,,16min
Beyond the Best,,,Marie France LouisTwee Vu Sosa,Twee Vu Sosa,,
The Rhythm Section: Fight or Flight,,,,,,6min
Duel,,,Thomas Merzlak,Thomas Merzlak,"Two people duel for some reason, and are beleaguered by a mysterious presence.",6min
Man of Action,,,Paul Krueger,Paul Krueger,,
Because I Believe,,,Tracy 'Twinkie' Byrd,,,
Eddie Thurber-III-The Final Countermeasure,,,Jason J. Tavares,Jason J. Tavares,"A kid came along who needed a favor, he wasn't a friend and he wasn't a neighbor - Eddie knew better than to trust a strange face, one that lurked out of the shadows from some other time and place.",28min
The Club,"7,7",,Tony Cole,Tony Cole,"To rescue the kidnapped son of the President of the United States, John Bailey leads his inseparable and indestructible group of mercenaries into the volatile Horazon. In order to accomplish their task, The Club must take on the entire army of the rogue nation and come face-to-face with shadows of the past.",22min
Battle,"6,6",48%,Emre Orun,Emre Orun,A gym owner struggles against an old adversary to keep his gym open while dreams give him clues to help him along the way.,25min
Fables Issue #9: Animal Farm,,,Kevin Terry,,,12min
Resolve,,,Martin Holper,Martin Holper,"When unemployed Ben learns that the treatment of his daughter suffering from leukemia is no longer financed, he decides to rob a car rental company .",19min
Rockstar Puppy: We Are the Rockstars,,,Piotr Hoang,Piotr Hoang,"Rockstar Puppy, a celebrity in the universe ruled by Cyberpunk Puppies, has a bounty on him and must use his wit to evade Assassin Pitbull - world's most feared puppy hunter.",4min
A Way In,,,Victor Fleischauer FigueiredoTiago Fleischauer de Oliveira,,Two agents decide to infiltrate a high-security building to steal data from a computer and get rich.,
Nerfpocalypse,,,Chris Correa,Chris Correa,,4min
Horroverse Full Movie,"8,1",,Aidan Walsh,Aidan Walsh,,35min
R/C Warthog,,,Chris Correa,Chris Correa,,2min
Maximum Ride,,37%,Aj Cross,,A new mission brings Peter head to head with a ruthless Karlov who will stop at nothing to incite warfare.,33min
Skin Deep,,,Josh Hale,,,
Dead End,,,,,,
Betrayal,,,Toom Chanda,Toom Chanda,,
Clear!,,,Martin L. Carlton,Martin L. Carlton,,
Run Hasan Run!,,,,,,1min
Crosswalk: Mercenaries,,,Charles Steven Durán,Charles Steven Durán,Three mercenaries are hired to assassinate one of their own but there's more to this mission than meets the eye. Dive into the expanded universe of Crosswalk.,
Girl's Night,,50%,Bethany Edwards,Bethany Edwards,,
Goalie,"8,7",,Maarten Lemmens,Maarten Lemmens,"During a Foosball goalkeeper's frustration of being unable to get involved in the action, his pole breaks. He tries to show that he is meant for more than 'just' a goalkeeper.",2min
Bloody Finch,,,Brian McnuIty,Brian McNulty,,
Devil,,50%,Thorsten Kramer,,"The music video for the title song ""DEVIL"" (TEUFEL) of the anti-bullying-film ""WHY? You can be the next one!"" (WARUM? Es kann jeden treffen!).",8min
Love in the Time of Cholula,,,Brigitte Kali CanalesHayley Keown,Brigitte Kali CanalesHayley Keown,"When a Chihuahua named Cholula is kidnapped in broad daylight, her owner vows to do whatever it takes to rescue her fur-baby and make the evil captor pay. Never underestimate the love and determination of a dog mom.",
Outcast,"5,3",64%,Royce Adkins,Royce Adkins,An ex super soldier with chronic asthma fights to prove his worth.,14min
Ben 10 parody: If the Omnitrix was a Troll,,,Lance Muise,Lance Muise,,3min
Kamen Raidâ Den'ô: Puriti Den'ô tôjô!,"7,4",,Shôjirô Nakazawa,Yasuko KobayashiShôji Yonemura,"Anna, a 10-year-old girl, runs away from home and later chased by Shocker. She manages to hop onto DenLiner and she gets off during 1989 - the first year of the Heisei Era and has a great adventure with Momotaros and others.",23min
Ethereal Living,,,Stelios Daniel Antoniou,Stelios Daniel Antoniou,"A quirky Man, a crazy Lady, a possibly demonic entity and an over-confident captive, collide in this other-worldly tale that focuses on character, morality, and quirky dialogue",
Consignment: Betrayal,,,Lou Ratchett,Jayj BlancoLou Ratchett,"A rising rapper (Blanco) and his friend (Lou) are on a mission to make it out of the streets of Pittsburgh, PA. Now that a notorious drug kingpin (Shiz) is looking for retribution, Lou and Blanco's chance of making it out is slim-to-none.",44min
Unstopable,,,Kenneth Castillo,,,
Obsession,,,Raphaël Kaddour,Raphaël Kaddour,AXEL AND JAWAD WANT TO ROB AUDRY'S HOUSE AND BECOME OBSESSED WITH A SAFE.,
Open Doom Crescendo,"7,5",,Terry Leung,Terry Leung,People battling to the death in a seemingly endless wasteland searching for the Embodiment of Angst.,2h 55min
Pass the Strike,,,,,,
Red Hood vs Nightwing: Fallen Disciple,,,Silas DunnTyler Flowers,Silas Dunn,Jason Todd comes face to face with an adversary from his past. Only one of them will walk away.,7min
The Stocking,"9,3",,Water Handblast,Water Handblast,"Submarine Man and his friends embark on an epic battle against a dark and evil entity known as ""The Stocking"".",17min
The Last Call: World War III,,,Samtu Palouki,Samtu Palouki,"SPC Palouki, a Fort Bragg soldier, suddenly hears from his leadership that he will be deployed to Iran the next day, to support the US Troops in the middle east, following the assassination of the Iranian General Qasem soleimani. He has only few hours to prepare and inform his family that he won't be spending the holidays with them.",
Feast of the Condor,,,Martin Helstáb,Martin Helstáb,"The hand which can't grab it, Stays clean or becomes bloody. Bottom of the lake seen from the mountain, Inside and outside came from the same fountain. ...The special relationship of a hunter, a robot, a giant salamander and a bird creature.",6min
Phantoms,,10%,Jared Goudsmit,Aidan Beasley,"In a world hurtling toward destruction, Winston has a memory to unravel - and an urgent message to deliver.",5min
Blood Hunter,,,James Barbatano,James BarbatanoDrew Daly HopperBethany Hoover,"Andrew Myst, a young detective hunts down a masked criminal known as the ""Duke"" while protecting the only person he's got left. Meanwhile, secrets unravel and his world is taken by storm.",
Astaroth,,,James Wakenell,James Wakenell,"Crime boss Lee Jenkins runs the city and no-one dares to oppose him. However, when rising vigilante Astaroth captures him, steals his leverage and delivers him to the police, Jenkins plots to seek revenge upon his new foe.",15min
Bad Rap Rising,"7,5",,Davide Grisolia,Davide GrisoliaRick Pfeiffer,"Earth: 65 Million Years ago. The evil Argor Zordak visit the blue Planet searching after animals for his evil experiments. Planet Earth today: A Group of Students, Eva Melas , Anna S. Madres and Tour Guide Biff Wilson follows Joseph Miles into the Cave, but you will not believe what they found.",36min
Extraction: F-229's Day Off,,,Zac Fudge,Zac FudgeOlivier Lunardi,A seasoned operative is called in to retrieve an asset on a particularly emotional day off.,
Cars and Coffee Movie,,,,,,
Aimbot,,,Jenny Gärtner,Jenny Gärtner,,
Code Black: The Journey,,,Justin Mireku,Justin Mireku,,
Untitled 2nd Epic Nerf Battle Project,,,,,,
Order of Khan,,,Fouad Hajji,Fouad Hajji,,
Roulette,,,Faton Millanaj,Faton Millanaj,,
Blessing,,,Jenifer Yeuroukis,Jenifer Yeuroukis,,10min
Pixel Batman: Enter The Phantom Zone,,,,,"The Dark and Gothic City Known as ""Gotham City"" has been under attack by aliens and the caped crusader and other heroes need help to stop this evil, and solve whom it may be.",
Blood on the Screenplay,,,Sedrick Amar II,Sedrick Amar IIMatt GouldDan Zand,A Director kidnaps a Writer to make the perfect movie.,
A Blaster in the Right Hands: A Star Wars Story,"7,8",,Richard de Carvalho,Erik MagnussonRichard de Carvalho,"On the trail of a crashed Imperial Shuttle, two bounty hunters collide over a valuable cargo, only to discover they're not the only hired guns around.",18min
Vagabond,"7,9",100%,Marcos de la Rosa,Marcos de la Rosa,,9min
Super Bois,,,Jon Mancinetti,Jon Mancinetti,Anyone can be a hero in their brother's eyes.,25min
Tubarão: O Regresso,"6,5",,Rui Constantino,Rui Constantino,"Two divers are exploring underwater caves when they are attacked by a shark, the head of the maritime police joins forces with a young apprentice and a shark hunter to hunt the shark before it takes hold of the beaches.",44min
The Red Room,,,Ewan French,Ewan FrenchJake Mason,,
N.U.N.S. with Nunchucks,,,Lorenzo Gutiérrez,Lorenzo GutiérrezVincenzo Nappi,"In the distant future, within the city of LOS MUTANTES, FREDA DAVIS and LUCILLE NERO, two spies from the National Union of National Spies (N.U.N.S.), ask BETTY POWELL to help bring down the Catholic Association of Quebec (C.A.Q.) and its oppressive leader, JEANNE VERSACON.",13min
Losin control,,,Romel Xavier Moralez,Romel Xavier MoralezAlyxandrya Prynce,,
Find Your Faith,,,Frederick Tabiyus Nah IV,Alexander Jesus BurgosFrederick Tabiyus Nah IV,,
Cydonia,"8,8",,Juan Pablo Arriagada,Juan Pablo Arriagada,A new world order known as Cydonia will try to prevent at all cost the beginning of the evolution.,30min
Caged,,24%,Austin Kinser,Nick DesantisAustin KinserTyler Kinser,"When Chris is accused by his boss of being a rat, he must find his own way out of the cage he now finds himself in",
La tercera caída,,,Gerardo Herrera,Gerardo Herrera,,
Revenge,,0%,Yadi NievesMichael W. Pleasant,Christina JohnsonYadi Nieves,,
Constantly in Action Man,,,John Denton,John Denton,"Max, a reckless corporate employee, is running late for an important board meeting. If he doesn't make it in time, then he faces termination of his job and his life.",
Raquel's Legacy the Revenge,,,Sandra Del Cid,,,
Stick Up,"8,7",,Chris Oz McIntosh,Garrett DavisTori Hartley,"A young woman plans to hold up a gas station as she leaves town, but her plan goes sideways. Fast.",
Mask of the Evil Apparition,"7,1",,Alex Proyas,Alex Proyas,"A young woman lost in a nocturnal, dreamlike city, with her twin psychic brothers who try to help her find her way home as she is pursued by a shadowy cult known as The Mysterious Ones.",20min
The Flight of the Manakins,,,Jacob Trup,Jacob Trup,,
An Awkward Encounter,,,James StewartDarren Keilan,Darren KeilanJames Stewart,"Half brothers, Kai and Leo, both desperately want this job. Unfortunately, their deep seeded disdain for each other might land them in hot water.",
Mashin Sentai Kirameijâ Za Mûbî: Bî-Bappu Dorîmu,"7,1",,Kyohei Yamaguchi,Naruhisa Arakawa,,39min
The Crow - Nightwatch,,,Kyle Wong,Jasmin ChongJames O'BarrKyle Wong,"Based on the hit comic book series ""The Crow"", a new incarnation where Sergeant Mark Leung and his wife are murdered and their daughter Isabelle taken by a Triad run human trafficking ring. Mark's partner Caitlin races to locate them before the trail runs cold and her chance at rescuing Isabelle disappears into the criminal underworld with them.",36min
One War,,,Jake Rist,Jake Rist,"One long, uncut shot turned short film, about an 18 year old Australian soldier arriving on the front line of the Turkish battle in World War I, and following his time in battle.",6min
Formulation,,,Justin Li,Justin Li,A puzzled college student seeks to assemble an award-winning film from the scattered pieces of his imagination.,10min
Purge: One V. All,,,Faton Millanaj,James DeMonacoFaton Millanaj,,
Popcorn,,,,,,
The Blind Date,"8,1",,Loukman Ali,Loukman Ali,"Jeff has a crush on a girl that's way outside his social class but he won't let that stop him. He'll do whatever it takes, including breaking a few rules.",29min
O Artefacto,"7,8",,Rui Constantino,Rui Constantino,"A man works for a museum in Lisbon, and receives an artefact from a colleague working on excavations in Egypt. But this object has a supernatural strength.",32min
Kurdaitcha,,,Chris Kang,Chris Kang,,
A Confident Man,,,Kristian Repshus,Kristian Repshus,Leo is an insecure non-risk taker who is on daily basis being pushed down and ridiculed by the same group of bullies. Until he meets Annie and everything changes.,
Bloodline,,,,,,
Easy Livin',,,Wendell Nielson,Wendell Nielson,A blissfully ignorant teen comes of age when a drug deal gone bad erupts into violence outside of the bathroom where she hides.,
A Silent Imprisonment,"8,9",,Charley KendallCameron AshplantJason Hancock,Cameron Ashplant,"Leo is taken prisoner before his departure home. The businessman is accused of working for American intelligence. He insists he is innocent, but his time in jail will change him forever.",
Greed,,,Clay E Jones,Clay E Jones,,
