Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
The Chosen One,"4,5",,Rob Schneider,Boon CollinsRob Schneider,A man finally finds faith in himself after the rest of world puts its faith in him; the sole being on earth who can save mankind from its own destruction - The Chosen One.,PG-13
La razón,"7,4",,Gustavo Charif,Gustavo CharifAndrés Onna,"A great magician and escapologist, is able to escape from most difficult places, but is unable to escape from his ordinary reality. Soon he understands that is faced his hardest challenge: go out from his country.",1h 10min
The Land of the Astronauts,"4,8",,Carl Colpaert,Carl ColpaertDomenic Siclari,A ghost story set in the city of dreams.,1h 42min
Sinatra Club,"4,7",11%,James Quattrochi,Salvatore Polisi,"NYC, 1972: After a bloody mob war all summer, the 5 mob families keep the peace at Sinatra Club with Gotti's upcoming silver heist as a joint venture.",1h 28min
Fair Game,"6,8",38%,Doug Liman,Jez ButterworthJohn-Henry ButterworthJoseph Wilson,"La agente de la CIA, Valerie Plame, descubre que su identidad supuestamente se filtró por el gobierno como venganza por un artículo de opinión que su esposo escribió criticando a la administración Bush.",1h 48min
A Dance for Grace,"7,6",,Orville MathersonJunior Powell,Junior Powell,"When Ricky Myers (Orville Matherson) , a talented black dancer of Jamaican descent, is caught selling drugs in Augusta, Ga. he is sentenced to four months probation. During which he is required to teach at a training center in the predominately white community of Johnsonville, Ga. While there he encounters a student with an ailing mother, Grace (Susan Lahout), needs $... Leer todo",
Multiple Sarcasms,"4,7",9%,Brooks Branch,Brooks BranchLinda Morris,"NYC, 1979: Gabriel and Annie's marriage is falling apart with only their daughter holding it together. Gabriel quits his architect job to become a playwright, writing about his life. Annie and Liz leave.",1h 37min
A Flat,"4,4",,Hemant Madhukar,Hemant MadhukarAjay Monga,"A spate of unexpected events jolted Rahul as soon as he landed from U.S. Now, Rahul finds himself trapped in his own flat, completely cut off from the world. The only companion he has is a ghost, a ghost that will not let go of him.",1h 43min
Dear John,"6,3",29%,Lasse Hallström,Jamie LindenNicholas Sparks,Un drama romántico sobre un soldado que se enamora de un estudiante universitario conservador mientras está de vacaciones en casa.,1h 48min
The Experiment,"6,4",,Paul T. Scheuring,Paul T. ScheuringMario GiordanoChristoph Darnstädt,"26 hombres son escogidos para participar en un estudio psicológico en el que adoptan los roles de guardas y presos, y que finalmente se sale de control.",1h 36min
