,Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película,Genero
384,Movie,Aita,2012,4,tt1274636,Accion/Drama
385,Movie,Now Here,2010,10,tt1276974,Accion/Drama
386,Movie,Summer Eleven,2011,4,tt1276988,Accion/Drama
387,Movie,Za rasuto messêji: Umizaru,2010,9,tt1277373,Accion/Drama
388,Movie,California Tango,2010,4,tt1277398,Accion/Comedia/Drama
389,Movie,Unkraut im Paradies,2010,7,tt1277952,Accion/Drama
390,Movie,Cinerama,2010,3,tt1278025,Accion/Drama
391,Movie,Jack Goes Boating,2010,12,tt1278379,Accion/Drama
392,Movie,Bhojpuriya Don,2010,,tt12784884,Accion/Drama
393,Movie,Dos Veces Ana,2010,,tt1279326,Accion/Drama
394,Movie,Ramaa: The Saviour,2010,11,tt1279105,Accion/Drama
395,Movie,Banglar King Kong,2010,6,tt12798342,Accion/Comedia/Drama
396,Movie,Cefalópodo,2010,9,tt1282136,Accion/Drama
